epoch,stage,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage1,adam,0.01,,0.0005,,1.7378274850845337,0.35196,1.8162604919433594,0.3517,0.3517,35.89299178123474
2,stage1,adam,0.01,,0.0005,,1.3470766931152345,0.49952,1.5534870233535767,0.4329,0.4329,35.51624798774719
3,stage1,adam,0.01,,0.0005,,1.1709393789291382,0.57488,1.170856618309021,0.5814,0.5814,35.429917335510254
4,stage1,adam,0.01,,0.0005,,1.0639171738433837,0.6202,1.2115993733406067,0.5704,0.5814,35.40268540382385
5,stage1,adam,0.01,,0.0005,,1.0054681414794922,0.64018,1.2800608001708984,0.5646,0.5814,35.4043972492218
6,stage1,adam,0.01,,0.0005,,0.960622668132782,0.65972,1.089856799507141,0.6159,0.6159,35.56314182281494
7,stage1,adam,0.01,,0.0005,,0.9382272866630554,0.66664,1.4822367139816284,0.5168,0.6159,35.51515579223633
8,stage1,adam,0.01,,0.0005,,0.9094666288375854,0.67808,1.1283218078613282,0.5992,0.6159,35.48787522315979
9,stage1,adam,0.01,,0.0005,,0.8880354828071594,0.68654,1.3449349586486816,0.5616,0.6159,35.433781147003174
10,stage1,adam,0.01,,0.0005,,0.8707924730300903,0.6918,1.0967554353713989,0.622,0.622,35.44757151603699
11,stage1,adam,0.01,,0.0005,,0.8514470561218261,0.69992,1.1914230365753173,0.61,0.622,35.41823363304138
12,stage1,adam,0.01,,0.0005,,0.8286729205513,0.70836,1.0743528881073,0.6341,0.6341,35.440211057662964
13,stage1,adam,0.01,,0.0005,,0.8120255671691895,0.7171,1.0085652585983276,0.6473,0.6473,35.57495355606079
14,stage1,adam,0.01,,0.0005,,0.7939298422813416,0.72434,0.993973328781128,0.6611,0.6611,35.52137470245361
15,stage1,adam,0.01,,0.0005,,0.7836674152755737,0.72858,1.0648292949676514,0.6363,0.6611,35.46799278259277
16,stage1,adam,0.01,,0.0005,,0.7673594838905334,0.73426,1.1897513261795043,0.6134,0.6611,35.424986600875854
17,stage1,adam,0.01,,0.0005,,0.7594550011062622,0.73614,1.4571370571136475,0.5785,0.6611,35.44607925415039
18,stage1,adam,0.01,,0.0005,,0.7569797616577149,0.738,1.0597432282447814,0.6424,0.6611,35.39979076385498
19,stage1,adam,0.01,,0.0005,,0.7479650779914856,0.74068,0.8636257160186768,0.6961,0.6961,35.486448526382446
20,stage1,adam,0.01,,0.0005,,0.742575618095398,0.74492,0.850013702583313,0.7036,0.7036,35.55548357963562
