epoch,stage,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage1,rmsprop,0.01,0.9,0.0005,,2.119427029495239,0.30926,2.0842580009460447,0.2915,0.2915,35.74246954917908
2,stage1,rmsprop,0.01,0.9,0.0005,,1.6561872248077392,0.37962,2.0035451538085938,0.2541,0.2915,35.48193883895874
3,stage1,rmsprop,0.01,0.9,0.0005,,1.598016778793335,0.40442,2.233340633392334,0.2597,0.2915,35.461881160736084
4,stage1,rmsprop,0.01,0.9,0.0005,,1.548702366294861,0.42262,6.718457452392578,0.1458,0.2915,35.36423397064209
5,stage1,rmsprop,0.01,0.9,0.0005,,1.5137774843978882,0.44132,2.2077625717163087,0.2795,0.2915,35.388354539871216
6,stage1,rmsprop,0.01,0.9,0.0005,,1.4889592372894287,0.45304,2.110520160293579,0.2986,0.2986,35.383270025253296
7,stage1,rmsprop,0.01,0.9,0.0005,,1.459693240661621,0.46112,1.669830880355835,0.383,0.383,35.335798263549805
8,stage1,rmsprop,0.01,0.9,0.0005,,1.446615853614807,0.46526,5.643497035980225,0.1724,0.383,35.436821937561035
9,stage1,rmsprop,0.01,0.9,0.0005,,1.4392544472885132,0.4734,2.3497533584594725,0.3011,0.383,35.46759223937988
10,stage1,rmsprop,0.01,0.9,0.0005,,1.4354550271606445,0.47488,1.7529016496658325,0.3595,0.383,35.46743822097778
11,stage1,rmsprop,0.01,0.9,0.0005,,1.4299208200454712,0.47542,2.4865188234329225,0.2529,0.383,35.34292387962341
12,stage1,rmsprop,0.01,0.9,0.0005,,1.4315897555923462,0.47216,2.820486393737793,0.2352,0.383,35.392890214920044
13,stage1,rmsprop,0.01,0.9,0.0005,,1.4245356169891357,0.47648,3.8502761798858645,0.1575,0.383,35.348196029663086
14,stage1,rmsprop,0.01,0.9,0.0005,,1.4188796493530274,0.48234,2.5367765363693238,0.2121,0.383,35.31740927696228
15,stage1,rmsprop,0.01,0.9,0.0005,,1.4077280952072144,0.48442,3.6787366565704347,0.1213,0.383,35.4671676158905
16,stage1,rmsprop,0.01,0.9,0.0005,,1.4161070010375976,0.4796,4.5995350944519044,0.18,0.383,35.458779096603394
