epoch,stage,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage1,sam,0.01,0.9,0.0005,0.05,1.5526677257537842,0.42736,1.3542418560028076,0.5,0.5,60.38248300552368
2,stage1,sam,0.01,0.9,0.0005,0.05,1.1242644422721864,0.59586,1.062297628593445,0.6098,0.6098,60.155356645584106
3,stage1,sam,0.01,0.9,0.0005,0.05,0.9053369697189331,0.68232,0.8658290489196777,0.6937,0.6937,60.171857595443726
4,stage1,sam,0.01,0.9,0.0005,0.05,0.7725381119918823,0.72838,0.7639489669799805,0.7239,0.7239,60.20732760429382
5,stage1,sam,0.01,0.9,0.0005,0.05,0.6647767245292664,0.76982,0.6755444122314453,0.76,0.76,60.176087617874146
6,stage1,sam,0.01,0.9,0.0005,0.05,0.5785235488128662,0.80282,0.611325214767456,0.7888,0.7888,60.11732220649719
7,stage1,sam,0.01,0.9,0.0005,0.05,0.5158687557601929,0.82442,0.5357619300842286,0.8174,0.8174,60.18006086349487
8,stage1,sam,0.01,0.9,0.0005,0.05,0.46828212886810305,0.84208,0.48737541437149046,0.83,0.83,60.22149968147278
9,stage1,sam,0.01,0.9,0.0005,0.05,0.42494436903953553,0.85752,0.48890145416259767,0.8323,0.8323,60.190184354782104
10,stage1,sam,0.01,0.9,0.0005,0.05,0.3959182200431824,0.86882,0.45700963077545165,0.8408,0.8408,60.154892921447754
11,stage1,sam,0.01,0.9,0.0005,0.05,0.36534095893859864,0.88072,0.4472115731239319,0.8463,0.8463,60.17219543457031
12,stage1,sam,0.01,0.9,0.0005,0.05,0.34090526428222656,0.8896,0.43846488761901853,0.8416,0.8463,60.21373438835144
13,stage1,sam,0.01,0.9,0.0005,0.05,0.319621944065094,0.89586,0.4080538582324982,0.8584,0.8584,60.160003662109375
14,stage1,sam,0.01,0.9,0.0005,0.05,0.296733999710083,0.90562,0.3953171113014221,0.864,0.864,60.15273356437683
15,stage1,sam,0.01,0.9,0.0005,0.05,0.27875054040908814,0.91126,0.37550525960922243,0.8704,0.8704,60.29390740394592
16,stage1,sam,0.01,0.9,0.0005,0.05,0.26357399898529055,0.917,0.3805217834472656,0.8723,0.8723,60.23348569869995
17,stage1,sam,0.01,0.9,0.0005,0.05,0.24430936036109924,0.92322,0.3416686792373657,0.8835,0.8835,60.15449047088623
18,stage1,sam,0.01,0.9,0.0005,0.05,0.231756737241745,0.92784,0.3299230013132095,0.8885,0.8885,60.120129108428955
19,stage1,sam,0.01,0.9,0.0005,0.05,0.21707129222393035,0.93252,0.3485859697818756,0.8785,0.8885,60.12961220741272
20,stage1,sam,0.01,0.9,0.0005,0.05,0.20572748276233674,0.93762,0.3447717528581619,0.8811,0.8885,60.2607684135437
21,stage1,sam,0.01,0.9,0.0005,0.05,0.1950595391368866,0.9422,0.3085759330749512,0.895,0.895,60.16066265106201
22,stage1,sam,0.01,0.9,0.0005,0.05,0.1836274754858017,0.94648,0.32216239638328553,0.8891,0.895,60.135289907455444
23,stage1,sam,0.01,0.9,0.0005,0.05,0.1759593131351471,0.94834,0.3183287330627441,0.8904,0.895,60.21487474441528
24,stage1,sam,0.01,0.9,0.0005,0.05,0.16509932161092758,0.95256,0.30467032532691957,0.8937,0.895,60.21921920776367
25,stage1,sam,0.01,0.9,0.0005,0.05,0.1556432764840126,0.95628,0.2973660390138626,0.8986,0.8986,60.15827822685242
26,stage1,sam,0.01,0.9,0.0005,0.05,0.14947100509405137,0.95782,0.2931642831325531,0.8967,0.8986,60.13830876350403
27,stage1,sam,0.01,0.9,0.0005,0.05,0.14163115990638733,0.96164,0.2810693624973297,0.9038,0.9038,60.19615411758423
28,stage1,sam,0.01,0.9,0.0005,0.05,0.1337133909225464,0.96368,0.2797525202512741,0.9048,0.9048,60.21980142593384
29,stage1,sam,0.01,0.9,0.0005,0.05,0.1263696086716652,0.96564,0.2843752456188202,0.9027,0.9048,60.14767360687256
30,stage1,sam,0.01,0.9,0.0005,0.05,0.1213056523513794,0.96856,0.29248220484256743,0.9023,0.9048,60.180355072021484
31,stage1,sam,0.01,0.9,0.0005,0.05,0.11685544252157211,0.97006,0.2642818558692932,0.9101,0.9101,60.23443007469177
32,stage1,sam,0.01,0.9,0.0005,0.05,0.10900613473415374,0.9732,0.27216351988315585,0.9064,0.9101,60.21117901802063
33,stage1,sam,0.01,0.9,0.0005,0.05,0.10421707924365997,0.97432,0.2688105329990387,0.9078,0.9101,60.18878698348999
34,stage1,sam,0.01,0.9,0.0005,0.05,0.09924095956325531,0.97638,0.26691485958099365,0.9102,0.9102,60.145718574523926
35,stage1,sam,0.01,0.9,0.0005,0.05,0.09526683043956756,0.97796,0.2560068210601807,0.9123,0.9123,60.557934522628784
36,stage1,sam,0.01,0.9,0.0005,0.05,0.09020394958972931,0.97974,0.26933442006111147,0.9092,0.9123,60.326738595962524
37,stage1,sam,0.01,0.9,0.0005,0.05,0.08564408980846405,0.9815,0.2670694115638733,0.9088,0.9123,60.280489444732666
38,stage1,sam,0.01,0.9,0.0005,0.05,0.08176532380580902,0.982,0.24961104769706727,0.9174,0.9174,60.64674639701843
39,stage1,sam,0.01,0.9,0.0005,0.05,0.07798841851472854,0.98376,0.2681084719181061,0.9113,0.9174,61.07329821586609
40,stage1,sam,0.01,0.9,0.0005,0.05,0.07556955062150955,0.985,0.25338597111701966,0.9145,0.9174,60.718892335891724
41,stage1,sam,0.01,0.9,0.0005,0.05,0.07173164667367936,0.9856,0.2573567991256714,0.9145,0.9174,60.44735240936279
42,stage1,sam,0.01,0.9,0.0005,0.05,0.06897676154136657,0.98694,0.2476608437538147,0.9181,0.9181,60.21408200263977
43,stage1,sam,0.01,0.9,0.0005,0.05,0.06673186380267143,0.98728,0.24302397804260253,0.9171,0.9181,60.35659718513489
44,stage1,sam,0.01,0.9,0.0005,0.05,0.06343887934207916,0.98874,0.2611524960517883,0.912,0.9181,60.41681718826294
45,stage1,sam,0.01,0.9,0.0005,0.05,0.06077185769081116,0.98938,0.24155849967002868,0.918,0.9181,60.170350074768066
46,stage1,sam,0.01,0.9,0.0005,0.05,0.058394544224739074,0.99012,0.2409029469013214,0.92,0.92,60.22359561920166
47,stage1,sam,0.01,0.9,0.0005,0.05,0.056469364675283434,0.99092,0.2622564142227173,0.912,0.92,60.199209451675415
48,stage1,sam,0.01,0.9,0.0005,0.05,0.053436138513088226,0.99142,0.24528584051132202,0.9195,0.92,60.164344787597656
49,stage1,sam,0.01,0.9,0.0005,0.05,0.05127848806142807,0.9921,0.2421494996547699,0.9206,0.9206,60.11183452606201
50,stage1,sam,0.01,0.9,0.0005,0.05,0.05011556088924408,0.99188,0.23349997687339782,0.9222,0.9222,60.06382131576538
51,stage1,sam,0.01,0.9,0.0005,0.05,0.0470933855766058,0.99302,0.23152295513153076,0.9226,0.9226,60.17277526855469
52,stage1,sam,0.01,0.9,0.0005,0.05,0.04523813252210617,0.99362,0.23222836961746215,0.9232,0.9232,60.171619176864624
53,stage1,sam,0.01,0.9,0.0005,0.05,0.04533130887269974,0.99374,0.22634570531845094,0.9241,0.9241,60.134294509887695
54,stage1,sam,0.01,0.9,0.0005,0.05,0.043829001870155336,0.99422,0.2406124623298645,0.9186,0.9241,60.0774199962616
55,stage1,sam,0.01,0.9,0.0005,0.05,0.04252881484389305,0.99464,0.23422678461074828,0.9221,0.9241,60.15614581108093
56,stage1,sam,0.01,0.9,0.0005,0.05,0.03954505602300167,0.99536,0.24085544462203978,0.9194,0.9241,60.14716815948486
57,stage1,sam,0.01,0.9,0.0005,0.05,0.03917496913790703,0.99508,0.22248159804344178,0.9255,0.9255,60.07837677001953
58,stage1,sam,0.01,0.9,0.0005,0.05,0.03755734637618065,0.99586,0.22242891492843628,0.9258,0.9258,60.11551833152771
59,stage1,sam,0.01,0.9,0.0005,0.05,0.03628089361667633,0.99596,0.22088012804985047,0.9255,0.9258,60.17038631439209
60,stage1,sam,0.01,0.9,0.0005,0.05,0.03523833236515522,0.99594,0.2310978609085083,0.9261,0.9261,60.15765023231506
61,stage1,sam,0.01,0.9,0.0005,0.05,0.0345092881333828,0.99642,0.2260407522678375,0.9273,0.9273,60.09851431846619
62,stage1,sam,0.01,0.9,0.0005,0.05,0.03289589530527592,0.99664,0.2243424067735672,0.9257,0.9273,60.09410834312439
63,stage1,sam,0.01,0.9,0.0005,0.05,0.032758384853601455,0.99678,0.22539328062534333,0.9251,0.9273,60.18238115310669
64,stage1,sam,0.01,0.9,0.0005,0.05,0.03324080510616303,0.99678,0.2144205687046051,0.9305,0.9305,60.159759283065796
65,stage1,sam,0.01,0.9,0.0005,0.05,0.03038904221892357,0.9975,0.215585236120224,0.9277,0.9305,60.11666202545166
66,stage1,sam,0.01,0.9,0.0005,0.05,0.030049172295331956,0.9976,0.21933161134719847,0.925,0.9305,60.114076137542725
67,stage1,sam,0.01,0.9,0.0005,0.05,0.029488789837956428,0.99764,0.2169064887046814,0.9313,0.9313,60.205570936203
68,stage1,sam,0.01,0.9,0.0005,0.05,0.02863429242491722,0.99774,0.2231781415939331,0.9256,0.9313,60.15912055969238
69,stage1,sam,0.01,0.9,0.0005,0.05,0.0290239829236269,0.99774,0.22262594928741455,0.9248,0.9313,60.108354806900024
70,stage1,sam,0.01,0.9,0.0005,0.05,0.0275088106366992,0.99814,0.20977064657211303,0.9328,0.9328,60.0668203830719
71,stage1,sam,0.01,0.9,0.0005,0.05,0.027027151117026804,0.99812,0.21392260830402374,0.9301,0.9328,60.15924549102783
72,stage1,sam,0.01,0.9,0.0005,0.05,0.027002300373315812,0.99826,0.21755730195045472,0.928,0.9328,60.174156665802
73,stage1,sam,0.01,0.9,0.0005,0.05,0.02552057487756014,0.99812,0.21487692542076112,0.9275,0.9328,60.11087989807129
74,stage1,sam,0.01,0.9,0.0005,0.05,0.026721890503168106,0.99786,0.21281759943962097,0.9309,0.9328,60.12269616127014
75,stage1,sam,0.01,0.9,0.0005,0.05,0.025895599878430365,0.9981,0.21794476072788238,0.9277,0.9328,60.15848922729492
76,stage1,sam,0.01,0.9,0.0005,0.05,0.024404591864347458,0.99868,0.215440704870224,0.9302,0.9328,60.151310443878174
77,stage1,sam,0.01,0.9,0.0005,0.05,0.024428844749331474,0.99836,0.2060255926132202,0.9309,0.9328,60.09778070449829
78,stage1,sam,0.01,0.9,0.0005,0.05,0.023631362143456937,0.99834,0.20961018228530884,0.9313,0.9328,60.10271406173706
79,stage1,sam,0.01,0.9,0.0005,0.05,0.023094950146079065,0.99828,0.21619050116539001,0.9304,0.9328,60.19615364074707
80,stage1,sam,0.01,0.9,0.0005,0.05,0.023560959241688252,0.99874,0.22812824325561523,0.9251,0.9328,60.157652616500854
81,stage1,sam,0.01,0.9,0.0005,0.05,0.022534931199848653,0.99868,0.20533572359085084,0.9335,0.9335,60.110800981521606
82,stage1,sam,0.01,0.9,0.0005,0.05,0.023743405807614325,0.99866,0.20472425198554992,0.9308,0.9335,60.08122730255127
83,stage1,sam,0.01,0.9,0.0005,0.05,0.021660151159763337,0.99866,0.2154969425201416,0.9287,0.9335,60.1606969833374
84,stage1,sam,0.01,0.9,0.0005,0.05,0.023162710753679275,0.99876,0.21361425795555114,0.9309,0.9335,60.15477013587952
85,stage1,sam,0.01,0.9,0.0005,0.05,0.021570286483168603,0.99872,0.2103978630065918,0.9317,0.9335,60.11339449882507
86,stage1,sam,0.01,0.9,0.0005,0.05,0.021303221746087075,0.9991,0.21111566352844238,0.9287,0.9335,60.06542181968689
87,stage1,sam,0.01,0.9,0.0005,0.05,0.0223484674090147,0.99878,0.20942279133796693,0.9323,0.9335,60.15746450424194
88,stage1,sam,0.01,0.9,0.0005,0.05,0.021896692368388176,0.99878,0.20782685780525206,0.9335,0.9335,60.14392018318176
89,stage1,sam,0.01,0.9,0.0005,0.05,0.02076001142680645,0.99914,0.20101003227233888,0.9355,0.9355,60.1268424987793
90,stage1,sam,0.01,0.9,0.0005,0.05,0.02113166592359543,0.999,0.20953199009895324,0.9329,0.9355,60.09453248977661
91,stage1,sam,0.01,0.9,0.0005,0.05,0.02053458554148674,0.9992,0.19967376267910003,0.9329,0.9355,60.155096769332886
92,stage1,sam,0.01,0.9,0.0005,0.05,0.02034851998567581,0.99904,0.202807443523407,0.9318,0.9355,60.12738108634949
93,stage1,sam,0.01,0.9,0.0005,0.05,0.020353656441271305,0.99912,0.20074865970611572,0.9354,0.9355,60.11905646324158
94,stage1,sam,0.01,0.9,0.0005,0.05,0.019850032826066018,0.99924,0.2122500422000885,0.9297,0.9355,60.061805725097656
95,stage1,sam,0.01,0.9,0.0005,0.05,0.01942466986954212,0.9989,0.2167105908870697,0.9289,0.9355,60.202412366867065
96,stage1,sam,0.01,0.9,0.0005,0.05,0.020308148971796034,0.9991,0.1982488844394684,0.936,0.936,60.15115809440613
97,stage1,sam,0.01,0.9,0.0005,0.05,0.020197721037864685,0.99898,0.19942418985366822,0.9329,0.936,60.098488330841064
98,stage1,sam,0.01,0.9,0.0005,0.05,0.019408790689110757,0.99914,0.202844647026062,0.9327,0.936,60.109734535217285
99,stage1,sam,0.01,0.9,0.0005,0.05,0.018082791667580606,0.9993,0.21786608409881592,0.9274,0.936,60.179800510406494
100,stage1,sam,0.01,0.9,0.0005,0.05,0.018521279004216195,0.99908,0.1949655084133148,0.9358,0.936,60.15074872970581
