epoch,stage,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage1,sgd,0.01,0.9,0.0005,,1.4520895737457276,0.46738,1.2619436798095702,0.5471,0.5471,35.453049421310425
2,stage1,sgd,0.01,0.9,0.0005,,0.9751095352363587,0.65396,1.0838843883514404,0.6394,0.6394,34.6943039894104
3,stage1,sgd,0.01,0.9,0.0005,,0.7518461622428894,0.73806,0.7526400032997131,0.7344,0.7344,34.814122915267944
4,stage1,sgd,0.01,0.9,0.0005,,0.6217232120704651,0.7845,0.7133101096153259,0.7628,0.7628,34.763418197631836
5,stage1,sgd,0.01,0.9,0.0005,,0.5360497718048096,0.81644,0.7076662203788757,0.7613,0.7628,34.766435384750366
6,stage1,sgd,0.01,0.9,0.0005,,0.4667190573692322,0.83924,0.6360473486423492,0.7885,0.7885,34.68914866447449
7,stage1,sgd,0.01,0.9,0.0005,,0.42331282958984373,0.85576,0.5138913504600525,0.8247,0.8247,34.703660011291504
8,stage1,sgd,0.01,0.9,0.0005,,0.3802840121650696,0.87054,0.4791453016281128,0.8379,0.8379,34.70399069786072
9,stage1,sgd,0.01,0.9,0.0005,,0.3447283104753494,0.88404,0.4728937301635742,0.8373,0.8379,34.733707666397095
10,stage1,sgd,0.01,0.9,0.0005,,0.3186795768547058,0.89352,0.4721986792564392,0.8442,0.8442,34.855393171310425
11,stage1,sgd,0.01,0.9,0.0005,,0.2936973180198669,0.90218,0.4425534056663513,0.8548,0.8548,34.78299689292908
12,stage1,sgd,0.01,0.9,0.0005,,0.27158361993312835,0.90934,0.5149088784217835,0.8347,0.8548,34.75556969642639
13,stage1,sgd,0.01,0.9,0.0005,,0.25154552997589114,0.91714,0.43162349309921266,0.8581,0.8581,34.703234910964966
14,stage1,sgd,0.01,0.9,0.0005,,0.23604073772907258,0.9239,0.42983811569213864,0.8602,0.8602,34.71064257621765
15,stage1,sgd,0.01,0.9,0.0005,,0.21754772267341613,0.92924,0.40562462816238404,0.8661,0.8661,34.68115472793579
16,stage1,sgd,0.01,0.9,0.0005,,0.20449276764392854,0.93404,0.454324925661087,0.8604,0.8661,34.716121673583984
17,stage1,sgd,0.01,0.9,0.0005,,0.18830256981372834,0.93986,0.37955540914535524,0.8786,0.8786,34.83941650390625
18,stage1,sgd,0.01,0.9,0.0005,,0.1736169133234024,0.94534,0.39399322896003725,0.8769,0.8786,34.78138875961304
19,stage1,sgd,0.01,0.9,0.0005,,0.16703138892173766,0.94814,0.39708724181652066,0.8759,0.8786,34.732003927230835
20,stage1,sgd,0.01,0.9,0.0005,,0.15198753039360047,0.95326,0.39352887806892395,0.8765,0.8786,34.71141266822815
21,stage1,sgd,0.01,0.9,0.0005,,0.145753545255661,0.95514,0.3764516164302826,0.8818,0.8818,34.722758531570435
22,stage1,sgd,0.01,0.9,0.0005,,0.13381802074670793,0.9598,0.3662416328430176,0.8833,0.8833,34.76179790496826
23,stage1,sgd,0.01,0.9,0.0005,,0.12936739892005922,0.9611,0.416593835067749,0.8725,0.8833,34.74775004386902
24,stage1,sgd,0.01,0.9,0.0005,,0.11623586763620376,0.96546,0.37695450744628906,0.8834,0.8834,34.8399395942688
25,stage1,sgd,0.01,0.9,0.0005,,0.10877737790226936,0.96982,0.3806134226799011,0.8807,0.8834,34.780853033065796
26,stage1,sgd,0.01,0.9,0.0005,,0.10482419130563736,0.9706,0.36728926467895506,0.8883,0.8883,34.742023944854736
27,stage1,sgd,0.01,0.9,0.0005,,0.09952263221740723,0.97244,0.35651509294509887,0.8904,0.8904,34.77261257171631
28,stage1,sgd,0.01,0.9,0.0005,,0.09302321088790894,0.97554,0.36356447863578795,0.8861,0.8904,34.79145073890686
29,stage1,sgd,0.01,0.9,0.0005,,0.0855700002527237,0.97732,0.3639025580406189,0.8917,0.8917,34.74672889709473
30,stage1,sgd,0.01,0.9,0.0005,,0.08232060240030288,0.9781,0.4865053095817566,0.8652,0.8917,34.83978271484375
31,stage1,sgd,0.01,0.9,0.0005,,0.07854354755282401,0.97998,0.3606653451919556,0.8946,0.8946,34.90639853477478
32,stage1,sgd,0.01,0.9,0.0005,,0.07152574751019478,0.98336,0.3664362558364868,0.8943,0.8946,34.88308668136597
33,stage1,sgd,0.01,0.9,0.0005,,0.0713053093791008,0.98224,0.3795956968307495,0.8907,0.8946,34.80748438835144
34,stage1,sgd,0.01,0.9,0.0005,,0.0639652513885498,0.98516,0.36561817655563356,0.8933,0.8946,34.7841899394989
35,stage1,sgd,0.01,0.9,0.0005,,0.06359063764154911,0.98508,0.3727929008483887,0.8932,0.8946,34.77552366256714
36,stage1,sgd,0.01,0.9,0.0005,,0.05812050122022629,0.98728,0.3569500831604004,0.8962,0.8962,34.74401140213013
37,stage1,sgd,0.01,0.9,0.0005,,0.056088928689956664,0.98854,0.3643403931617737,0.8959,0.8962,34.77056813240051
38,stage1,sgd,0.01,0.9,0.0005,,0.052575480031967166,0.9893,0.3876114302635193,0.892,0.8962,34.81085133552551
39,stage1,sgd,0.01,0.9,0.0005,,0.050655625364780424,0.98964,0.3676035083293915,0.8928,0.8962,34.80250573158264
40,stage1,sgd,0.01,0.9,0.0005,,0.047591319769620895,0.99058,0.37039911341667175,0.8969,0.8969,34.705339670181274
41,stage1,sgd,0.01,0.9,0.0005,,0.048048046285510064,0.9905,0.3110867391586304,0.9108,0.9108,34.7120943069458
42,stage1,sgd,0.01,0.9,0.0005,,0.045310444183945656,0.9914,0.34844664630889893,0.8999,0.9108,34.69002342224121
43,stage1,sgd,0.01,0.9,0.0005,,0.04280156629920006,0.99206,0.35917410125732424,0.9008,0.9108,34.6533989906311
44,stage1,sgd,0.01,0.9,0.0005,,0.039286807355880735,0.99356,0.3556075589179993,0.9,0.9108,34.771533727645874
45,stage1,sgd,0.01,0.9,0.0005,,0.0402374191403389,0.99338,0.33537225365638734,0.9062,0.9108,34.80373787879944
46,stage1,sgd,0.01,0.9,0.0005,,0.037816803847551345,0.99348,0.3632212949752808,0.9008,0.9108,34.771191358566284
47,stage1,sgd,0.01,0.9,0.0005,,0.038836663349866865,0.99316,0.35166626715660093,0.9023,0.9108,34.693504095077515
48,stage1,sgd,0.01,0.9,0.0005,,0.03502091743111611,0.99486,0.3569244881629944,0.9009,0.9108,34.70729351043701
49,stage1,sgd,0.01,0.9,0.0005,,0.03506198938846588,0.99444,0.3345381856918335,0.9063,0.9108,34.69611072540283
50,stage1,sgd,0.01,0.9,0.0005,,0.03374081722021103,0.99524,0.3351283111572266,0.9054,0.9108,34.684388637542725
51,stage1,sgd,0.01,0.9,0.0005,,0.03273545656919479,0.99464,0.36495278873443604,0.8993,0.9108,34.81280851364136
52,stage1,sgd,0.01,0.9,0.0005,,0.028650076140165327,0.99608,0.35847361488342283,0.8992,0.9108,34.80002498626709
53,stage1,sgd,0.01,0.9,0.0005,,0.03162001601457596,0.99528,0.3472714147567749,0.9022,0.9108,34.78480648994446
54,stage1,sgd,0.01,0.9,0.0005,,0.029096900010108947,0.99574,0.35995229234695436,0.9007,0.9108,34.69080662727356
55,stage1,sgd,0.01,0.9,0.0005,,0.02886781442642212,0.99602,0.34008307638168334,0.9055,0.9108,34.712751388549805
56,stage1,sgd,0.01,0.9,0.0005,,0.02641058301359415,0.99702,0.33863957958221436,0.9074,0.9108,34.687804222106934
57,stage1,sgd,0.01,0.9,0.0005,,0.02566483757823706,0.9966,0.34507844042778013,0.9056,0.9108,34.67255187034607
58,stage1,sgd,0.01,0.9,0.0005,,0.026090132163763047,0.99696,0.3519277454853058,0.9027,0.9108,34.80728721618652
59,stage1,sgd,0.01,0.9,0.0005,,0.025122372879385946,0.99724,0.34858982553482054,0.9039,0.9108,34.79325723648071
60,stage1,sgd,0.01,0.9,0.0005,,0.024978108608722686,0.99714,0.3641188768386841,0.9,0.9108,34.776049852371216
61,stage1,sgd,0.01,0.9,0.0005,,0.024048494765758516,0.9971,0.3206994450569153,0.9109,0.9109,34.69606137275696
62,stage1,sgd,0.01,0.9,0.0005,,0.025578317681252957,0.99686,0.313055766248703,0.9121,0.9121,34.78609108924866
63,stage1,sgd,0.01,0.9,0.0005,,0.023536286051273347,0.99744,0.3207208913326263,0.908,0.9121,34.762107849121094
64,stage1,sgd,0.01,0.9,0.0005,,0.023424117652773857,0.99702,0.334978920173645,0.908,0.9121,34.768036127090454
65,stage1,sgd,0.01,0.9,0.0005,,0.022984320915937422,0.99768,0.3250692316055298,0.9122,0.9122,34.91986584663391
66,stage1,sgd,0.01,0.9,0.0005,,0.02233230429202318,0.99778,0.3595659022808075,0.9033,0.9122,34.86891317367554
67,stage1,sgd,0.01,0.9,0.0005,,0.022509824163913728,0.99776,0.38034451961517335,0.8997,0.9122,34.84894323348999
68,stage1,sgd,0.01,0.9,0.0005,,0.023100466890633106,0.99754,0.32498224129676817,0.9103,0.9122,34.80352210998535
69,stage1,sgd,0.01,0.9,0.0005,,0.021866534083485604,0.99772,0.32608505258560183,0.9108,0.9122,34.80212736129761
70,stage1,sgd,0.01,0.9,0.0005,,0.020319786980748177,0.9978,0.32626125936508177,0.9111,0.9122,34.76850342750549
71,stage1,sgd,0.01,0.9,0.0005,,0.021313293880820275,0.9977,0.32550983018875124,0.9095,0.9122,34.79904246330261
72,stage1,sgd,0.01,0.9,0.0005,,0.020080059383511543,0.99818,0.3364939980506897,0.9054,0.9122,34.90510296821594
73,stage1,sgd,0.01,0.9,0.0005,,0.020148638289272786,0.99792,0.32811098222732543,0.9111,0.9122,34.87358903884888
74,stage1,sgd,0.01,0.9,0.0005,,0.0189129760619998,0.99836,0.3345602220535278,0.9106,0.9122,34.82786536216736
75,stage1,sgd,0.01,0.9,0.0005,,0.018005568677186966,0.99842,0.328164981842041,0.9086,0.9122,34.80840086936951
