epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet18,adagrad,0.01,,0.0005,,1.4335433141708374,0.49102,1.472280813217163,0.459,0.459,38.9281268119812
2,stage2,resnet18,adagrad,0.01,,0.0005,,0.7875073673343659,0.74736,1.134878514099121,0.6037,0.6037,38.882882595062256
3,stage2,resnet18,adagrad,0.01,,0.0005,,0.506174773273468,0.85954,0.8299250431060791,0.7118,0.7118,39.06085538864136
4,stage2,resnet18,adagrad,0.01,,0.0005,,0.34751956966876985,0.91728,0.858606474685669,0.7087,0.7118,38.96799921989441
5,stage2,resnet18,adagrad,0.01,,0.0005,,0.2609999752855301,0.94276,0.7250627873420715,0.7525,0.7525,38.73713254928589
6,stage2,resnet18,adagrad,0.01,,0.0005,,0.2054327583026886,0.95936,0.6300926282882691,0.787,0.787,38.96501040458679
7,stage2,resnet18,adagrad,0.01,,0.0005,,0.1688193673324585,0.96822,0.5303227989196777,0.8158,0.8158,38.914098501205444
8,stage2,resnet18,adagrad,0.01,,0.0005,,0.14439242475509645,0.97354,0.5577395602226257,0.8159,0.8159,38.95164442062378
9,stage2,resnet18,adagrad,0.01,,0.0005,,0.1223382664179802,0.97966,0.5042213739395142,0.8256,0.8256,38.982272148132324
10,stage2,resnet18,adagrad,0.01,,0.0005,,0.10698472938776016,0.98294,0.5170983029365539,0.8256,0.8256,38.85780358314514
11,stage2,resnet18,adagrad,0.01,,0.0005,,0.09503421135425567,0.9848,0.4992180242538452,0.8361,0.8361,38.98502516746521
12,stage2,resnet18,adagrad,0.01,,0.0005,,0.08228779380679131,0.98748,0.5749052243709564,0.8125,0.8361,39.190521001815796
13,stage2,resnet18,adagrad,0.01,,0.0005,,0.07030276833057404,0.9908,0.4270312964916229,0.8577,0.8577,38.67528319358826
14,stage2,resnet18,adagrad,0.01,,0.0005,,0.06297746881365776,0.99178,0.45511549081802366,0.8521,0.8577,38.918901205062866
15,stage2,resnet18,adagrad,0.01,,0.0005,,0.056810812715291974,0.99236,0.41191145181655886,0.8674,0.8674,38.7354679107666
16,stage2,resnet18,adagrad,0.01,,0.0005,,0.0518585110783577,0.99338,0.404043182015419,0.8712,0.8712,38.98336219787598
17,stage2,resnet18,adagrad,0.01,,0.0005,,0.043643225524425504,0.99542,0.4392166072368622,0.8611,0.8712,38.81084632873535
18,stage2,resnet18,adagrad,0.01,,0.0005,,0.03934873705983162,0.99594,0.39939816551208496,0.8692,0.8712,38.811166286468506
19,stage2,resnet18,adagrad,0.01,,0.0005,,0.03441389695942402,0.99668,0.369602086275816,0.8798,0.8798,38.80542802810669
20,stage2,resnet18,adagrad,0.01,,0.0005,,0.031184551407694817,0.997,0.34772997546195983,0.8822,0.8822,38.96232795715332
21,stage2,resnet18,adagrad,0.01,,0.0005,,0.028192470659017563,0.99778,0.40710120553970336,0.8747,0.8822,39.10686755180359
22,stage2,resnet18,adagrad,0.01,,0.0005,,0.024588146062493325,0.99804,0.38972952179908754,0.8791,0.8822,38.74979496002197
