epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,adamw,0.001,,0.0005,,1.2930185603141784,0.53034,1.091255764579773,0.6129,0.6129,71.29278564453125
2,stage2,resnet34,adamw,0.001,,0.0005,,0.8140529416656495,0.7158,0.7783155614852906,0.7334,0.7334,71.27052998542786
3,stage2,resnet34,adamw,0.001,,0.0005,,0.6132786644744873,0.78992,0.6746398581504822,0.7645,0.7645,71.08524918556213
4,stage2,resnet34,adamw,0.001,,0.0005,,0.503872606048584,0.8299,0.5726754676342011,0.8079,0.8079,70.94412350654602
5,stage2,resnet34,adamw,0.001,,0.0005,,0.42995338176727294,0.85484,0.4806088315010071,0.8381,0.8381,70.73893141746521
6,stage2,resnet34,adamw,0.001,,0.0005,,0.37668364324569703,0.87598,0.5262125209331513,0.8192,0.8381,71.14341855049133
7,stage2,resnet34,adamw,0.001,,0.0005,,0.33135463750839234,0.89006,0.48498583002090456,0.8355,0.8381,71.07696962356567
8,stage2,resnet34,adamw,0.001,,0.0005,,0.29178520283699033,0.90368,0.42703917398452756,0.8598,0.8598,70.67843198776245
9,stage2,resnet34,adamw,0.001,,0.0005,,0.262573374376297,0.91576,0.3962270434379578,0.8663,0.8663,71.08443236351013
10,stage2,resnet34,adamw,0.001,,0.0005,,0.2408765360879898,0.922,0.4225655365943909,0.8601,0.8663,71.15186500549316
11,stage2,resnet34,adamw,0.001,,0.0005,,0.2201059780216217,0.92854,0.4049351603507996,0.8701,0.8701,70.99798250198364
12,stage2,resnet34,adamw,0.001,,0.0005,,0.19564201585292817,0.93822,0.3741090001344681,0.8785,0.8785,71.02042245864868
13,stage2,resnet34,adamw,0.001,,0.0005,,0.18041949293136597,0.9419,0.32602374687194824,0.8936,0.8936,71.09585785865784
14,stage2,resnet34,adamw,0.001,,0.0005,,0.1644757930755615,0.9474,0.35964079947471617,0.8922,0.8936,71.07004165649414
15,stage2,resnet34,adamw,0.001,,0.0005,,0.14954930218696594,0.95244,0.3448224370956421,0.8934,0.8936,70.69109153747559
16,stage2,resnet34,adamw,0.001,,0.0005,,0.13480443016529084,0.95918,0.3148731972694397,0.8996,0.8996,70.65708422660828
17,stage2,resnet34,adamw,0.001,,0.0005,,0.12216254969835282,0.96304,0.3463455397605896,0.8964,0.8996,71.10994529724121
18,stage2,resnet34,adamw,0.001,,0.0005,,0.11253370657682418,0.9662,0.3380322024345398,0.8981,0.8996,70.60959053039551
