epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,38.36726114700318,0.13544,2.53053469543457,0.1,0.1,65.20510601997375
2,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,15.511761437988282,0.11486,63.07548430175781,0.0928,0.1,64.83934116363525
3,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.390494713439942,0.11098,2.801702261352539,0.1,0.1,64.80195379257202
4,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.088256394653321,0.11694,2932.966333984375,0.1,0.1,64.8844804763794
5,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.299715518798829,0.11564,194.97718503417968,0.1001,0.1001,64.90568089485168
6,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.098858557815552,0.11402,96.93210729980468,0.1,0.1001,64.82867693901062
7,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.986375055847168,0.11244,47.27178081054687,0.0972,0.1001,64.81145095825195
8,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.088299177856445,0.11286,9266.694759375,0.1,0.1001,64.92425847053528
9,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.438754795303344,0.1094,20.796095904541016,0.1,0.1001,64.86362028121948
10,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.010393955993653,0.1123,140.74204904785157,0.1,0.1001,64.8337025642395
11,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.240275078125,0.11352,89.34669724121093,0.1,0.1001,64.84020638465881
12,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.477064082946777,0.11574,10388.5184125,0.1,0.1001,64.93870282173157
13,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.089646650695801,0.1137,187.44604660644532,0.1,0.1001,64.8551983833313
14,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.33874220954895,0.1109,17.982954580688478,0.1,0.1001,64.83142304420471
15,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,12.625233579864503,0.11944,14.469643522644043,0.1,0.1001,64.88291025161743
16,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.109348170776367,0.11284,503.3297138671875,0.1,0.1001,64.91181969642639
17,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.911729447631837,0.11262,16.813741859436035,0.1,0.1001,64.83507919311523
18,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,11.87158411315918,0.11324,7486.7049875,0.1,0.1001,64.80268383026123
19,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.483179826049804,0.1123,18421.3551828125,0.0994,0.1001,64.93042612075806
20,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.547648517608643,0.11406,3229.56036875,0.1,0.1001,64.88343811035156
21,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.065116220855712,0.11124,114647.1067125,0.1,0.1001,64.82501912117004
22,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.359072715148926,0.11388,241125.5975,0.1,0.1001,65.0318591594696
23,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,15.246871611785888,0.11912,6411.2218921875,0.1,0.1001,64.93937659263611
24,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.492774524536133,0.11782,1294.32469609375,0.1,0.1001,64.84677338600159
25,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.860039828186036,0.11502,1290.712400390625,0.1,0.1001,64.82853627204895
26,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.86322919784546,0.1136,460.72558388671877,0.1,0.1001,64.86612296104431
27,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.345497817382812,0.11384,1940.53646171875,0.1,0.1001,64.95473003387451
28,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.313131049804688,0.11424,193.4220767578125,0.1228,0.1228,64.90806794166565
29,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,13.390350711364746,0.11048,299866.70015,0.1,0.1228,65.34837794303894
30,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.16525458114624,0.11176,56.71758012695312,0.1,0.1228,65.41603946685791
31,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.518723869552613,0.1134,20.480637799072266,0.0924,0.1228,65.40428304672241
32,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.333361428833008,0.11098,112.65853403320313,0.1083,0.1228,65.34989285469055
33,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.744854864349366,0.11622,106.90173686523437,0.1078,0.1228,65.33745646476746
34,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,6.950481270065308,0.11576,15.117564205932617,0.1168,0.1228,65.4811179637909
35,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.083464103546143,0.11622,12.051159939575195,0.1,0.1228,65.36795425415039
36,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.172029020385741,0.11672,21.728229693603517,0.1,0.1228,65.34177088737488
37,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.389339569015503,0.11042,22.296738150024414,0.1,0.1228,65.40797305107117
38,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.917159714660644,0.11236,274.1033350341797,0.0511,0.1228,65.38330268859863
39,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,30.800597099456787,0.115,342.46222182617186,0.1,0.1228,65.30627179145813
40,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.434517658996581,0.11866,972.3974686523437,0.1,0.1228,65.28706789016724
41,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.409208587036133,0.11726,14.296163012695313,0.1,0.1228,65.3949089050293
42,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.96582280456543,0.11456,1592.1030162109375,0.1,0.1228,65.37384343147278
43,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.281525214385987,0.11484,34.299382373046875,0.0989,0.1228,65.31042718887329
44,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.013717572021484,0.11028,36.51707294921875,0.0658,0.1228,65.27862167358398
45,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,11.811864725952148,0.1131,2714152.0272,0.1,0.1228,65.43033266067505
46,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.385494716644287,0.11228,28.82937243347168,0.1,0.1228,65.35152387619019
47,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,13.06788881652832,0.11314,346.0240244628906,0.1,0.1228,65.3106701374054
48,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.0161297912597655,0.11472,392544056.32,0.1,0.1228,65.33644390106201
49,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.602389188308717,0.11448,1130.262669140625,0.1,0.1228,65.40671014785767
50,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.583801038208009,0.1118,198.45285822753905,0.1,0.1228,65.323490858078
51,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.665580169067383,0.11026,1288.963180078125,0.1,0.1228,65.29842042922974
52,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.928696420440675,0.11512,40.485469415283205,0.1,0.1228,65.39270567893982
53,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.40082764831543,0.11258,20224.46680625,0.1,0.1228,65.37787675857544
54,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.505333011779785,0.11166,133.24144924316406,0.1134,0.1228,65.3218903541565
55,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.007312080993652,0.11306,373114.0567,0.1,0.1228,65.283695936203
56,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.590288228759766,0.1123,744.2268061523438,0.1,0.1228,65.41359996795654
57,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.075724744567871,0.11418,10263.10636875,0.1,0.1228,65.34349846839905
58,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,14.042352644958497,0.1132,2478.3775734375,0.1,0.1228,65.30629968643188
59,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.556351731872558,0.11694,25.52933564147949,0.1,0.1228,65.34479999542236
60,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.159444774169922,0.11666,479.6513865234375,0.1,0.1228,65.41019868850708
61,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.771438244171142,0.11404,6803.77608515625,0.1,0.1228,65.31982612609863
62,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.249395001754761,0.11432,19.97420463562012,0.1,0.1228,65.28808379173279
63,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,6.686573305511475,0.11272,42205.14064375,0.1104,0.1228,65.38409948348999
64,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,12.345772812957764,0.11442,9.12622476425171,0.1,0.1228,65.38674211502075
65,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.795567265014649,0.11524,5739.11384609375,0.1,0.1228,65.31119656562805
66,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.601898939819336,0.11278,367.79530942382814,0.1,0.1228,65.29394936561584
67,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,6.569295444946289,0.11304,128.50778220214843,0.1127,0.1228,65.41840124130249
68,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.44554919128418,0.11572,239.17095727539063,0.1,0.1228,65.35357737541199
69,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.91662888458252,0.11156,19896.848440625,0.1,0.1228,65.31886839866638
70,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,7.603481977462769,0.11396,16.399095663452147,0.1,0.1228,65.34027409553528
71,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,19.474149326171876,0.1115,28.378151745605468,0.1,0.1228,65.41357374191284
72,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,6.219200343322754,0.11312,69.76863813476562,0.1061,0.1228,65.32476496696472
73,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.319432411346435,0.11528,52515.3310375,0.1,0.1228,65.2954831123352
74,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,10.268881360321044,0.1146,333.94185073242187,0.0994,0.1228,65.37934303283691
75,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,12.272045597000123,0.1127,1662.142564453125,0.1,0.1228,65.37239003181458
76,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.842536469726562,0.11072,91052.3174875,0.1,0.1228,65.3009443283081
77,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,8.845668565063477,0.11272,102.10734392089844,0.1,0.1228,65.29244780540466
78,stage2,resnet34,rmsprop,0.1,0.9,0.0005,,9.300288133239746,0.11176,34.39728328857422,0.1001,0.1228,65.41709208488464
