epoch,stage,model,optimizer,lr,momentum,weight_decay,rho,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,1.6856624990463256,0.36904,1.3897952007293701,0.4824,0.4824,110.6947557926178
2,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,1.2341635235023498,0.5551,1.0987802377700806,0.6001,0.6001,110.49762058258057
3,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.9721390953445435,0.6581,0.9212075702667236,0.6667,0.6667,110.53586721420288
4,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.8087543968963623,0.7199,0.7774316860198974,0.7272,0.7272,110.49177813529968
5,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.6856428927993774,0.76172,0.6926010764122009,0.7629,0.7629,110.5613911151886
6,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.5919357110214234,0.80142,0.6200207712173462,0.7855,0.7855,110.48948931694031
7,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.5233815994262695,0.82574,0.5537654143333435,0.8127,0.8127,110.53668236732483
8,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.46499199850082396,0.8466,0.48427265548706055,0.8368,0.8368,110.5255069732666
9,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.42308666900634767,0.86266,0.4650879261016846,0.8436,0.8436,110.53725147247314
10,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.38968443716049195,0.87352,0.46050647821426394,0.8447,0.8447,110.5257523059845
11,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.35884267733573916,0.88438,0.443215491104126,0.8508,0.8508,110.50116419792175
12,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.3261025000858307,0.89522,0.41121243286132814,0.8578,0.8578,110.57249903678894
13,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.3049513997268677,0.90226,0.3745156611442566,0.8686,0.8686,110.51198887825012
14,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.2779851334381104,0.9117,0.3719905326843262,0.8692,0.8692,110.56399869918823
15,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.2658215077638626,0.91724,0.3487564404010773,0.879,0.879,110.53824853897095
16,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.24367115025043487,0.92402,0.34507901525497436,0.8819,0.8819,110.75257515907288
17,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.23160219895362855,0.92936,0.3541988512992859,0.8797,0.8819,111.19826245307922
18,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.21371165561676025,0.93566,0.34955659055709837,0.8777,0.8819,110.61667203903198
19,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.2005397557926178,0.93912,0.32672497863769534,0.8901,0.8901,110.57626056671143
20,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.1888348568701744,0.94376,0.31988638558387755,0.8961,0.8961,110.5263774394989
21,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.17441286657810212,0.94966,0.30879064927101135,0.8952,0.8961,110.47528553009033
22,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.16622419657230378,0.95278,0.2976879834890366,0.8988,0.8988,110.71763825416565
23,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.15910439457178116,0.95396,0.29861448736190793,0.8996,0.8996,110.45347237586975
24,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.14675792067050933,0.95842,0.2783703963041306,0.9057,0.9057,110.47244334220886
25,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.14023798179149627,0.96206,0.27946395530700685,0.9073,0.9073,110.64530992507935
26,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.13086157940387727,0.96476,0.27261405155658724,0.9079,0.9079,110.5399444103241
27,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.12271978423595428,0.9674,0.2757187424182892,0.9044,0.9079,110.5976550579071
28,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.11857389773845672,0.96982,0.2796453182220459,0.904,0.9079,110.59931921958923
29,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.11061897102355957,0.97172,0.26283895473480223,0.9123,0.9123,110.7180745601654
30,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.10526076705932617,0.97318,0.26851768918037416,0.9076,0.9123,110.57459592819214
31,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.09866961630821228,0.97638,0.2730594931125641,0.9123,0.9123,110.581857919693
32,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.09322417661666871,0.97746,0.2828309210777283,0.9062,0.9123,110.50058627128601
33,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.08995414759755134,0.97864,0.2616099582672119,0.9132,0.9132,110.52000331878662
34,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.08469349055528641,0.98004,0.25078302268981933,0.9172,0.9172,110.68368029594421
35,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.08143196739912033,0.98194,0.2524983006477356,0.9173,0.9173,110.6280026435852
36,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.07653420105457306,0.9827,0.2641849668979645,0.9113,0.9173,110.82984209060669
37,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.0737026137804985,0.98438,0.24781121826171876,0.9154,0.9173,110.64998745918274
38,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.07064609326839447,0.98498,0.2596434103488922,0.9119,0.9173,110.72950220108032
39,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.06725902446985245,0.98614,0.2352700169801712,0.9201,0.9201,110.84477639198303
40,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.061982101919651034,0.98772,0.24562373728752135,0.9183,0.9201,110.69223833084106
41,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.06273264026403427,0.98794,0.24159381976127625,0.9215,0.9215,110.6045036315918
42,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.05879292880296707,0.98866,0.26004465346336364,0.9115,0.9215,110.7453224658966
43,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.056710007209777834,0.98924,0.24283379230499266,0.919,0.9215,110.5441632270813
44,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.05360808717012405,0.9902,0.23059215526580812,0.9234,0.9234,110.6688301563263
45,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.050979007586836815,0.99124,0.24916909527778625,0.9169,0.9234,110.50979423522949
46,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.049891780859231946,0.99154,0.2366832113265991,0.9234,0.9234,110.59301900863647
47,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.04600392401576042,0.9925,0.22073513538837433,0.9268,0.9268,110.54153680801392
48,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.044957817615270616,0.99268,0.21872435989379882,0.9262,0.9268,110.56711649894714
49,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.04334825162827968,0.99332,0.22918076195716858,0.9239,0.9268,110.70222806930542
50,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.042383987752199176,0.99332,0.22056768341064453,0.9269,0.9269,110.62060117721558
51,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.04061734482169151,0.99416,0.21407975990772246,0.9285,0.9285,110.67583227157593
52,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.039140419597029685,0.99456,0.23124197702407837,0.9278,0.9285,110.64704823493958
53,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.038020583484172824,0.99482,0.22735130982398988,0.9273,0.9285,110.92788600921631
54,stage2,resnet34,sam,0.01,0.9,0.0005,0.05,0.037187473301887514,0.99544,0.21909256954193115,0.9302,0.9302,110.68069767951965
