epoch,optimizer,lr,rho,rho_min,rho_max,dynamic,adaptive_power,eta,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,dynamic_improved_sam,0.01,0.01,0.001,0.05,True,1.0,0.01,1.5533614582061768,0.4234,1.3025064920425415,0.5374,0.5374,63.91916632652283
2,dynamic_improved_sam,0.01,0.02,0.001,0.05,True,1.0,0.01,1.0857839134407044,0.6091,0.9937301843643188,0.6359,0.6359,62.57110929489136
3,dynamic_improved_sam,0.01,0.030000000000000006,0.001,0.05,True,1.0,0.01,0.8490734127426147,0.69924,0.7762764902114868,0.7261,0.7261,62.4139130115509
4,dynamic_improved_sam,0.01,0.04,0.001,0.05,True,1.0,0.01,0.7197321370887756,0.74652,0.661583263874054,0.7688,0.7688,62.85876536369324
5,dynamic_improved_sam,0.01,0.05,0.001,0.05,True,1.0,0.01,0.62718665102005,0.78166,0.6775855405807495,0.7755,0.7755,62.89043211936951
6,dynamic_improved_sam,0.01,0.04998660480485269,0.001,0.05,True,1.0,0.01,0.5533941795253754,0.80736,0.5807659391880036,0.8004,0.8004,62.351208209991455
7,dynamic_improved_sam,0.01,0.04994643386685998,0.001,0.05,True,1.0,0.01,0.5010454884147644,0.8262,0.5638597256660461,0.8082,0.8082,62.52714228630066
8,dynamic_improved_sam,0.01,0.049879531112352785,0.001,0.05,True,1.0,0.01,0.45695400796890256,0.84298,0.49664132719039916,0.831,0.831,62.1393141746521
9,dynamic_improved_sam,0.01,0.049785969698510894,0.001,0.05,True,1.0,0.01,0.4206534709739685,0.85444,0.4723682002544403,0.8398,0.8398,62.40644812583923
10,dynamic_improved_sam,0.01,0.0496658519333667,0.001,0.05,True,1.0,0.01,0.39146671117782594,0.86544,0.5096632518529892,0.8292,0.8398,62.20666813850403
11,dynamic_improved_sam,0.01,0.04951930916393283,0.001,0.05,True,1.0,0.01,0.36485566904067995,0.87618,0.3911400016307831,0.8634,0.8634,62.29822778701782
12,dynamic_improved_sam,0.01,0.049346501632576145,0.001,0.05,True,1.0,0.01,0.3379072577381134,0.88462,0.4226449323654175,0.8509,0.8634,62.68589997291565
