epoch,optimizer,lr,rho,lr_center,lr_min,lr_max,rho_center,rho_min,rho_max,adaptive,adaptive_power,eta,train_loss,train_acc,test_loss,test_acc,best_test_acc,epoch_time
1,stage4_dynamic_rho_lr_improved_sam,0.00208,0.060000000000000005,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,1.8065025657653808,0.32318,1.5356503736495972,0.4185,0.4185,61.93396997451782
2,stage4_dynamic_rho_lr_improved_sam,0.00406,0.07,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,1.4334648188781738,0.47038,1.252219292640686,0.5393,0.5393,61.82394480705261
3,stage4_dynamic_rho_lr_improved_sam,0.006040000000000001,0.08000000000000002,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,1.20089269947052,0.56406,1.1015586214065551,0.6058,0.6058,61.81250810623169
4,stage4_dynamic_rho_lr_improved_sam,0.00802,0.09,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,1.0337793534469604,0.62986,0.9575121734619141,0.6551,0.6551,61.8722620010376
5,stage4_dynamic_rho_lr_improved_sam,0.01,0.1,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.894753601512909,0.68148,0.981344695854187,0.6628,0.6628,61.76886034011841
6,stage4_dynamic_rho_lr_improved_sam,0.010023672058105998,0.10038200794754937,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.7485905633926392,0.73748,0.7634411293029785,0.7324,0.7324,62.006715059280396
7,stage4_dynamic_rho_lr_improved_sam,0.010041473442923698,0.10072978050333083,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.6529539610671997,0.77286,0.6652487325668335,0.7687,0.7687,61.76425623893738
8,stage4_dynamic_rho_lr_improved_sam,0.010052960201456297,0.10103657007150266,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.5848145266914367,0.7984,0.577518465423584,0.7986,0.7986,61.65367531776428
9,stage4_dynamic_rho_lr_improved_sam,0.010057710250715496,0.10129589834637891,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.529048076095581,0.81834,0.5263618244409561,0.8182,0.8182,61.59891152381897
10,stage4_dynamic_rho_lr_improved_sam,0.010055330994381408,0.10150167072313707,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.4876098771762848,0.83552,0.5145897044181824,0.826,0.826,61.780646562576294
11,stage4_dynamic_rho_lr_improved_sam,0.010045466520738585,0.10164828449174443,0.01,0.0001,0.012,0.1,0.05,0.12,True,1.0,0.01,0.4532991717338562,0.84548,0.4575741445541382,0.8427,0.8427,61.73634481430054
