stage,model,dataset,optimizer,lr,momentum,weight_decay,rho,epochs,seed,best_test_acc,final_test_acc,total_time,best_model_path,log_path
stage2,resnet34,cifar10,sgd,0.1,0.9,0.0005,,100,42,0.8855,0.8738,6360.326226711273,results/models/stage2_resnet34_cifar10_sgd_lr0.1_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_sgd_lr0.1_ep100_seed42.csv
stage2,resnet34,cifar10,sgd,0.01,0.9,0.0005,,100,42,0.9175,0.9092,6389.236070871353,results/models/stage2_resnet34_cifar10_sgd_lr0.01_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_sgd_lr0.01_ep100_seed42.csv
stage2,resnet34,cifar10,sgd,0.001,0.9,0.0005,,100,42,0.8742,0.8694,6387.6010138988495,results/models/stage2_resnet34_cifar10_sgd_lr0.001_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_sgd_lr0.001_ep100_seed42.csv
stage2,resnet34,cifar10,adam,0.1,,0.0005,,100,42,0.2739,0.251,6520.384746789932,results/models/stage2_resnet34_cifar10_adam_lr0.1_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adam_lr0.1_ep100_seed42.csv
stage2,resnet34,cifar10,adam,0.01,,0.0005,,100,42,0.7207,0.5897,6555.911583662033,results/models/stage2_resnet34_cifar10_adam_lr0.01_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adam_lr0.01_ep100_seed42.csv
stage2,resnet34,cifar10,adam,0.001,,0.0005,,100,42,0.9028,0.8975,6922.606329679489,results/models/stage2_resnet34_cifar10_adam_lr0.001_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adam_lr0.001_ep100_seed42.csv
stage2,resnet34,cifar10,adamw,0.1,,0.0005,,100,42,0.9106,0.9095,6987.067578792572,results/models/stage2_resnet34_cifar10_adamw_lr0.1_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adamw_lr0.1_ep100_seed42.csv
stage2,resnet34,cifar10,adamw,0.01,,0.0005,,100,42,0.927,0.9215,7045.407601118088,results/models/stage2_resnet34_cifar10_adamw_lr0.01_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adamw_lr0.01_ep100_seed42.csv
stage2,resnet34,cifar10,adamw,0.001,,0.0005,,100,42,0.9303,0.9273,6888.7040112018585,results/models/stage2_resnet34_cifar10_adamw_lr0.001_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adamw_lr0.001_ep100_seed42.csv
stage2,resnet34,cifar10,rmsprop,0.1,0.9,0.0005,,100,42,0.1228,0.1,6523.791396617889,results/models/stage2_resnet34_cifar10_rmsprop_lr0.1_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_rmsprop_lr0.1_ep100_seed42.csv
stage2,resnet34,cifar10,rmsprop,0.01,0.9,0.0005,,100,42,0.3108,0.2082,6527.421884298325,results/models/stage2_resnet34_cifar10_rmsprop_lr0.01_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_rmsprop_lr0.01_ep100_seed42.csv
stage2,resnet34,cifar10,rmsprop,0.001,0.9,0.0005,,100,42,0.7219,0.619,6531.767690420151,results/models/stage2_resnet34_cifar10_rmsprop_lr0.001_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_rmsprop_lr0.001_ep100_seed42.csv
stage2,resnet34,cifar10,adagrad,0.1,,0.0005,,100,42,0.8837,0.8676,6452.291141033173,results/models/stage2_resnet34_cifar10_adagrad_lr0.1_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adagrad_lr0.1_ep100_seed42.csv
stage2,resnet34,cifar10,adagrad,0.01,,0.0005,,100,42,0.9221,0.9204,6458.455514907837,results/models/stage2_resnet34_cifar10_adagrad_lr0.01_ep100_seed42_best.pth,results/logs/stage2_resnet34_cifar10_adagrad_lr0.01_ep100_seed42.csv
